source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33744,Azat Maksum,Charles Johnson,/fighters/azat-maksum-10897,/fighters/charles-johnson-7494,"('azat maksum', 'charles johnson')"
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33871,Pete Rodriguez,Themba Gorimbo,/fighters/pete-rodriguez-14497,/fighters/themba-gorimbo-12770,"('pete rodriguez', 'themba gorimbo')"
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33718,Blake Bilder,Jeongyeong Lee,/fighters/blake-bilder-13013,/fighters/jeongyeong-lee-14611,"('blake bilder', 'jeongyeong lee')"
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33712,Julija Stoliarenko,Luana Carolina,/fighters/julija-stoliarenko-9926,/fighters/luana-carolina-8992,"('julija stoliarenko', 'luana carolina')"
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33713,Landon Quinones,Marquel Mederos,/fighters/landon-quinones-9461,/fighters/marquel-mederos-10796,"('landon quinones', 'marquel mederos')"
ufc-fight-night-3158,UFC Fight Night,2024-02-03,https://www.bestfightodds.com/events/ufc-fight-night-3158,33711,Jamal Pogues,Thomas Petersen,/fighters/jamal-pogues-8230,/fighters/thomas-petersen-10546,"('jamal pogues', 'thomas petersen')"
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33934,Jiniushiyue,Rei Tsuruya,/fighters/jiniushiyue-15863,/fighters/rei-tsuruya-15872,"('jiniushiyue', 'rei tsuruya')"
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33935,Kaiwen Li,Zha Yi,/fighters/kaiwen-li-15871,/fighters/zha-yi-13926,"('kaiwen li', 'zha yi')"
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33936,Shin Haraguchi,Zhu Rong,/fighters/shin-haraguchi-15881,/fighters/zhu-rong-10936,"('shin haraguchi', 'zhu rong')"
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33937,Kaiwen Li,Yizha,/fighters/kaiwen-li-15871,/fighters/yizha-17111,"('kaiwen li', 'yizha')"
road-to-ufc-3188,Road to UFC,2024-02-04,https://www.bestfightodds.com/events/road-to-ufc-3188,33938,Rongzhu,Shin Haraguchi,/fighters/rongzhu-17112,/fighters/shin-haraguchi-15881,"('rongzhu', 'shin haraguchi')"
