source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,ufc_fight_id,ufc_event_id,ufc_event_name,ufc_event_date_iso,winner_name,fight_order,weight_class,match_method,match_similarity
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33725,Matthew Semelsberger,Preston Parsons,/fighters/matthew-semelsberger-10268,/fighters/preston-parsons-6472,"('matt semelsberger', 'preston parsons')",09bde55e0cf4cecefd1b,010986ee359fb863,,2024-01-13,Preston Parsons,99,Welterweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33474,Gabriel Benitez,Jim Miller,/fighters/gabriel-benitez-5295,/fighters/jim-miller-265,"('gabriel benitez', 'jim miller')",0d35dc46797421685d5e,010986ee359fb863,,2024-01-13,Jim Miller,99,Lightweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33477,Brunno Ferreira,Phil Hawes,/fighters/brunno-ferreira-14404,/fighters/phil-hawes-5712,"('brunno ferreira', 'phil hawes')",15fe37ad36976bc981ae,010986ee359fb863,,2024-01-13,Brunno Ferreira,99,Middleweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33726,Felipe Bunes,Joshua van,/fighters/felipe-bunes-13242,/fighters/joshua-van-14745,"('felipe bunes', 'joshua van')",40c6363af256ee6a975c,010986ee359fb863,,2024-01-13,Joshua Van,99,Flyweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33479,Andrei Arlovski,Waldo Cortes-Acosta,/fighters/andrei-arlovski-487,/fighters/waldo-cortes-acosta-12830,"('andrei arlovski', 'waldo cortes acosta')",4ca17d32dfb75e06e9f3,010986ee359fb863,,2024-01-13,Waldo Cortes-Acosta,99,Heavyweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33485,Gaston Bolanos,Marcus McGhee,/fighters/gaston-bolanos-6991,/fighters/marcus-mcghee-14050,"('gaston bolanos', 'marcus mcghee')",50d3302b08480437837a,010986ee359fb863,,2024-01-13,Marcus McGhee,99,Bantamweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33483,Nikolas Motta,Tom Nolan,/fighters/nikolas-motta-9314,/fighters/tom-nolan-16303,"('nikolas motta', 'tom nolan')",c5d25e2e780f37cfddf7,010986ee359fb863,,2024-01-13,Nikolas Motta,99,Lightweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33480,Farid Basharat,Taylor Lapilus,/fighters/farid-basharat-11791,/fighters/taylor-lapilus-5164,"('farid basharat', 'taylor lapilus')",cd922769130b4951b12b,010986ee359fb863,,2024-01-13,Farid Basharat,99,Bantamweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33475,Mario Bautista,Ricky Simon,/fighters/mario-bautista-8867,/fighters/ricky-simon-5780,"('mario bautista', 'ricky simon')",ea16545c9eb46d19815b,010986ee359fb863,,2024-01-13,Mario Bautista,99,Bantamweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33361,Johnny Walker,Magomed Ankalaev,/fighters/johnny-walker-8542,/fighters/magomed-ankalaev-7794,"('johnny walker', 'magomed ankalaev')",ec5931735bb1aaae3259,010986ee359fb863,,2024-01-13,Magomed Ankalaev,99,Light Heavyweight Bout,exact_pair,1.0
ufc-3123,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123,33652,Jean Silva,Westin Wilson,/fighters/jean-silva-554,/fighters/westin-wilson-7567,"('jean silva', 'westin wilson')",fe0e8fe7c17e71c65d25,010986ee359fb863,,2024-01-13,Jean Silva,99,Featherweight Bout,exact_pair,1.0
