Year,Period,Weighting,Rank,Book,N,CoverageRate,N_d5,N_d10,Accuracy_d5,Accuracy_d10,LogLoss,AverageLogLikelihood,ECE_fixed20,ECE_percentile20,MeanMetricRank
2024,2024,Equal,1,DraftKings,480,0.9836065573770492,428,342,0.7219626168224299,0.7456140350877193,0.5785680292088031,-0.5785680292088031,0.07245906776352144,0.08913082386917133,4.0
2024,2024,Equal,2,BetMGM,482,0.9877049180327869,433,343,0.7251732101616628,0.7434402332361516,0.5799537409691599,-0.5799537409691599,0.05565065759433584,0.07827761582290826,3.0
2024,2024,Equal,3,BetRivers,477,0.9774590163934426,417,340,0.7290167865707434,0.7441176470588236,0.5800702178043919,-0.5800702178043919,0.06489954472898592,0.0606810117816997,2.6
2024,2024,Liquidity proxy,1,DraftKings,480,0.9836065573770492,428,342,0.7202636130127943,0.7454872602915409,0.5787691769705768,-0.5787691769705768,0.0706969048210346,0.09507819526059594,4.2
2024,2024,Liquidity proxy,2,BetWay,487,0.9979508196721312,413,344,0.7378914666112685,0.7579912868965478,0.5797156571135766,-0.5797156571135766,0.05915250337377829,0.07565123606044516,2.2
2024,2024,Liquidity proxy,3,BetMGM,482,0.9877049180327869,433,343,0.7242442560377452,0.7431985283294786,0.5799838110742825,-0.5799838110742825,0.05489872476951483,0.07404786636850388,3.0
2025,2025,Equal,1,DraftKings,245,0.5212765957446809,223,178,0.6771300448430493,0.7191011235955056,0.5933953452735945,-0.5933953452735945,0.09386828133727866,0.09578231963354183,4.8
2025,2025,Equal,2,Caesars,465,0.9893617021276596,413,348,0.6973365617433414,0.7183908045977011,0.5935328328553812,-0.5935328328553812,0.05176720063983186,0.047251679319080954,3.2
2025,2025,Equal,3,BetRivers,467,0.9936170212765958,408,341,0.6985294117647058,0.7243401759530792,0.594056543343237,-0.594056543343237,0.0480362866570398,0.06799217435455913,2.4
2025,2025,Liquidity proxy,1,DraftKings,245,0.5212765957446809,223,178,0.6754142513599308,0.7172822438046366,0.5945893176332532,-0.5945893176332532,0.09516186525461157,0.0987110277696719,4.8
2025,2025,Liquidity proxy,2,Caesars,465,0.9893617021276596,413,348,0.6972585747812193,0.7179577153317273,0.595288128217277,-0.595288128217277,0.05077676780793875,0.04048562509483014,2.8
2025,2025,Liquidity proxy,3,FanDuel,468,0.9957446808510638,417,347,0.6995205786777399,0.7142821446063263,0.5961863747463416,-0.5961863747463416,0.05829253644256784,0.07304031239853251,4.0
2026,2026 YTD through 2026-08-30,Equal,1,Caesars,252,0.9921259842519685,228,193,0.7631578947368421,0.7927461139896373,0.5375016019343009,-0.5375016019343009,0.11132129064223209,0.12111843720296148,4.0
2026,2026 YTD through 2026-08-30,Equal,2,BetRivers,253,0.9960629921259843,223,191,0.7668161434977578,0.7905759162303665,0.5400430561094983,-0.5400430561094983,0.08848916169340222,0.10629287505677681,3.2
2026,2026 YTD through 2026-08-30,Equal,3,Unibet,253,0.9960629921259843,223,191,0.7668161434977578,0.7905759162303665,0.542223250159381,-0.542223250159381,0.08720685882076769,0.09978094517461669,3.0
2026,2026 YTD through 2026-08-30,Liquidity proxy,1,Caesars,252,0.9921259842519685,228,193,0.7619562721898878,0.7922252446878506,0.5378784797298872,-0.5378784797298872,0.11248168919265449,0.10211858755045387,3.2
2026,2026 YTD through 2026-08-30,Liquidity proxy,2,BetRivers,253,0.9960629921259843,223,191,0.7669570037567707,0.7910455826111424,0.5398053409602734,-0.5398053409602734,0.09140659368871171,0.10699469452380712,3.6
2026,2026 YTD through 2026-08-30,Liquidity proxy,3,Unibet,253,0.9960629921259843,223,191,0.7663782560291941,0.7910455826111424,0.5421209119424442,-0.5421209119424442,0.08976207498217977,0.10381465795004269,3.6
