source_event_id,source_matchup_id,bookmaker_id,bookmaker_name,fighter_name,fighter_url,american_odds,event_name,event_date_iso,event_url
ufc-3123,33475,23,BetMGM,Ricky Simon,/fighters/ricky-simon-5780,-200,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33475,22,DraftKings,Ricky Simon,/fighters/ricky-simon-5780,-180,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,21,FanDuel,Brunno Ferreira,/fighters/brunno-ferreira-14404,-138,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,24,Caesars,Brunno Ferreira,/fighters/brunno-ferreira-14404,-145,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,25,BetRivers,Brunno Ferreira,/fighters/brunno-ferreira-14404,-137,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,20,BetWay,Brunno Ferreira,/fighters/brunno-ferreira-14404,-135,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,26,Unibet,Brunno Ferreira,/fighters/brunno-ferreira-14404,-137,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,23,BetMGM,Brunno Ferreira,/fighters/brunno-ferreira-14404,-140,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,22,DraftKings,Brunno Ferreira,/fighters/brunno-ferreira-14404,-145,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,21,FanDuel,Phil Hawes,/fighters/phil-hawes-5712,+118,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,24,Caesars,Phil Hawes,/fighters/phil-hawes-5712,+122,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,25,BetRivers,Phil Hawes,/fighters/phil-hawes-5712,+112,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,20,BetWay,Phil Hawes,/fighters/phil-hawes-5712,+110,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,26,Unibet,Phil Hawes,/fighters/phil-hawes-5712,+112,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,23,BetMGM,Phil Hawes,/fighters/phil-hawes-5712,+115,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33477,22,DraftKings,Phil Hawes,/fighters/phil-hawes-5712,+114,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,21,FanDuel,Andrei Arlovski,/fighters/andrei-arlovski-487,+490,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,24,Caesars,Andrei Arlovski,/fighters/andrei-arlovski-487,+550,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,25,BetRivers,Andrei Arlovski,/fighters/andrei-arlovski-487,+475,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,20,BetWay,Andrei Arlovski,/fighters/andrei-arlovski-487,+525,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,26,Unibet,Andrei Arlovski,/fighters/andrei-arlovski-487,+475,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,23,BetMGM,Andrei Arlovski,/fighters/andrei-arlovski-487,+500,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,22,DraftKings,Andrei Arlovski,/fighters/andrei-arlovski-487,+400,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,21,FanDuel,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-670,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,24,Caesars,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-800,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,25,BetRivers,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-670,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,20,BetWay,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-800,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,26,Unibet,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-670,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,23,BetMGM,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-750,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
ufc-3123,33479,22,DraftKings,Waldo Cortes-Acosta,/fighters/waldo-cortes-acosta-12830,-620,UFC,2024-01-13,https://www.bestfightodds.com/events/ufc-3123
