event_id,event_url,event_date,event_location,event_name
e6015889f50075d2,http://ufcstats.com/event-details/e6015889f50075d2,2025-02-08,"Sydney, New South Wales, Australia",
ce7871949b0ed2bf,http://ufcstats.com/event-details/ce7871949b0ed2bf,2025-02-15,"Las Vegas, Nevada, USA",
ca936c67687789e9,http://ufcstats.com/event-details/ca936c67687789e9,2025-03-08,"Las Vegas, Nevada, USA",
9766ed20b68c7c33,http://ufcstats.com/event-details/9766ed20b68c7c33,2025-03-01,"Las Vegas, Nevada, USA",
c50ea21fe9ef478d,http://ufcstats.com/event-details/c50ea21fe9ef478d,2025-02-22,"Seattle, Washington, USA",
39f62b833e4cf126,http://ufcstats.com/event-details/39f62b833e4cf126,2025-03-15,"Las Vegas, Nevada, USA",
0f7210aa8d61af8d,http://ufcstats.com/event-details/0f7210aa8d61af8d,2025-03-29,"Mexico City, Distrito Federal, Mexico",
cc2ad11b1f9d818b,http://ufcstats.com/event-details/cc2ad11b1f9d818b,2025-03-22,"London, England, United Kingdom",
86b30a86664cb6e4,http://ufcstats.com/event-details/86b30a86664cb6e4,2025-04-05,"Las Vegas, Nevada, USA",
22f4b6cb6b1bd7fd,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,2025-04-12,"Miami, Florida, USA",
118463dd8db16e7f,http://ufcstats.com/event-details/118463dd8db16e7f,2025-05-10,"Montreal, Quebec, Canada",
b2e3aca4cd363477,http://ufcstats.com/event-details/b2e3aca4cd363477,2025-04-26,"Kansas City, Missouri, USA",
de20ffb3fc2e7629,http://ufcstats.com/event-details/de20ffb3fc2e7629,2025-05-03,"Des Moines, Iowa, USA",
8ad022dd81224f61,http://ufcstats.com/event-details/8ad022dd81224f61,2025-05-17,"Las Vegas, Nevada, USA",
18c49685296c60e6,http://ufcstats.com/event-details/18c49685296c60e6,2025-06-07,"Newark, New Jersey, USA",
2a898bf9fb7710b3,http://ufcstats.com/event-details/2a898bf9fb7710b3,2025-05-31,"Las Vegas, Nevada, USA",
28d8638ea0a71908,http://ufcstats.com/event-details/28d8638ea0a71908,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
7b03d9df5910917d,http://ufcstats.com/event-details/7b03d9df5910917d,2025-07-12,"Nashville, Tennessee, USA",
66766984842c13dc,http://ufcstats.com/event-details/66766984842c13dc,2025-06-28,"Las Vegas, Nevada, USA",
de277a4abcfeea46,http://ufcstats.com/event-details/de277a4abcfeea46,2025-06-14,"Atlanta, Georgia, USA",
400c7b43c86d27d3,http://ufcstats.com/event-details/400c7b43c86d27d3,2025-06-21,"Baku, Azerbaijan",
b8e2f10efb6eca85,http://ufcstats.com/event-details/b8e2f10efb6eca85,2025-07-19,"New Orleans, Louisiana, USA",
f2c934689243fe4e,http://ufcstats.com/event-details/f2c934689243fe4e,2025-08-02,"Las Vegas, Nevada, USA",
6cd3dfc54f01287f,http://ufcstats.com/event-details/6cd3dfc54f01287f,2025-08-09,"Las Vegas, Nevada, USA",
754968e325d6f60d,http://ufcstats.com/event-details/754968e325d6f60d,2025-08-23,"Shanghai, Hebei, China",
421ccfc6ddb17958,http://ufcstats.com/event-details/421ccfc6ddb17958,2025-08-16,"Chicago, Illinois, USA",
5efaaf313b652dd7,http://ufcstats.com/event-details/5efaaf313b652dd7,2025-09-13,"San Antonio, Texas, USA",
6e380a4d73ab4f0e,http://ufcstats.com/event-details/6e380a4d73ab4f0e,2025-09-06,"Paris, Ile-de-France, France",
6436029b50a9c255,http://ufcstats.com/event-details/6436029b50a9c255,2025-11-08,"Las Vegas, Nevada, USA",
38e5d9dcb0fddc42,http://ufcstats.com/event-details/38e5d9dcb0fddc42,2025-10-18,"Vancouver, British Columbia, Canada",
9336e86cfd4ceaa1,http://ufcstats.com/event-details/9336e86cfd4ceaa1,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",
ed220e87bef0cc64,http://ufcstats.com/event-details/ed220e87bef0cc64,2025-09-27,"Perth, Western Australia, Australia",
7956f026e2672c47,http://ufcstats.com/event-details/7956f026e2672c47,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
8944a0f9b2f0ce6d,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,2025-10-04,"Las Vegas, Nevada, USA",
0e2c2daf11b5d8f2,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,2025-11-01,"Las Vegas, Nevada, USA",
8db1b36dde268ef6,http://ufcstats.com/event-details/8db1b36dde268ef6,2025-11-15,"New York City, New York, USA",
92c96df8bdab5fea,http://ufcstats.com/event-details/92c96df8bdab5fea,2025-11-22,"Doha, Qatar",
bc0f994de0521926,http://ufcstats.com/event-details/bc0f994de0521926,2025-12-13,"Las Vegas, Nevada, USA",
bd92cf5da5413d2a,http://ufcstats.com/event-details/bd92cf5da5413d2a,2025-12-06,"Las Vegas, Nevada, USA",
0cfbbfa0ba6d9855,http://ufcstats.com/event-details/0cfbbfa0ba6d9855,2026-02-28,"Mexico City, Distrito Federal, Mexico",
79ab17db3b40831a,http://ufcstats.com/event-details/79ab17db3b40831a,2026-02-21,"Houston, Texas, USA",
c337c3c85b1871e0,http://ufcstats.com/event-details/c337c3c85b1871e0,2026-02-07,"Las Vegas, Nevada, USA",
8fbcd82bf7f352bf,http://ufcstats.com/event-details/8fbcd82bf7f352bf,2025-08-22,"Shanghai, Hebei, China",
30ad2050273d016a,http://ufcstats.com/event-details/30ad2050273d016a,2026-01-31,"Sydney, New South Wales, Australia",
00e11b5c8b7bfeeb,http://ufcstats.com/event-details/00e11b5c8b7bfeeb,2026-01-24,"Las Vegas, Nevada, USA",
15ec018d144710db,http://ufcstats.com/event-details/15ec018d144710db,2026-03-07,"Las Vegas, Nevada, USA",
babc6b5745335f18,http://ufcstats.com/event-details/babc6b5745335f18,2026-03-14,"Las Vegas, Nevada, USA",
69108cb8b32efe04,http://ufcstats.com/event-details/69108cb8b32efe04,2026-03-21,"London, England, United Kingdom",
5c38639f860a5542,http://ufcstats.com/event-details/5c38639f860a5542,2026-03-28,"Seattle, Washington, USA",
f3eb664db7fb1df3,http://ufcstats.com/event-details/f3eb664db7fb1df3,2026-04-11,"Miami, Florida, USA",
c3ac8d0da7b05772,http://ufcstats.com/event-details/c3ac8d0da7b05772,2026-04-18,"Winnipeg, Manitoba, Canada",
e60d773a0a42048a,http://ufcstats.com/event-details/e60d773a0a42048a,2026-04-25,"Las Vegas, Nevada, USA",
872b018076f831b0,http://ufcstats.com/event-details/872b018076f831b0,2026-05-02,"Perth, Western Australia, Australia",
9eedac48b497de5a,http://ufcstats.com/event-details/9eedac48b497de5a,2026-05-09,"Newark, New Jersey, USA",
73abb7a5c57fb443,http://ufcstats.com/event-details/73abb7a5c57fb443,2026-05-16,"Las Vegas, Nevada, USA",
ba17afef01ed78b6,http://ufcstats.com/event-details/ba17afef01ed78b6,2026-06-06,"Las Vegas, Nevada, USA",
1e75e6c9de99fa76,http://ufcstats.com/event-details/1e75e6c9de99fa76,2026-05-30,"Macau, China",
48544433372ecfa6,http://ufcstats.com/event-details/48544433372ecfa6,2026-06-14,"Washington, DC, USA",
fccb0fee256b7b4d,http://ufcstats.com/event-details/fccb0fee256b7b4d,2026-07-11,"Las Vegas, Nevada, USA",
31e1ea6fe6b682f8,http://ufcstats.com/event-details/31e1ea6fe6b682f8,2026-06-27,"Baku, Azerbaijan",
c8661e204c66f325,http://ufcstats.com/event-details/c8661e204c66f325,2026-06-20,"Las Vegas, Nevada, USA",
9a70f67ad2187fa3,http://ufcstats.com/event-details/9a70f67ad2187fa3,2026-04-04,"Las Vegas, Nevada, USA",
f354c50b8d63d9b3,http://ufcstats.com/event-details/f354c50b8d63d9b3,2026-07-18,"Oklahoma City, Oklahoma, USA",
681d07e328798ec0,http://ufcstats.com/event-details/681d07e328798ec0,2026-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",
1a50e734bb54861a,http://ufcstats.com/event-details/1a50e734bb54861a,2026-08-01,"Belgrade, Vojvodina, Serbia",
495add4fbede0a44,http://ufcstats.com/event-details/495add4fbede0a44,2026-08-08,"Las Vegas, Nevada, USA",
