source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,reason,candidate_count
ufc-fight-night-3667,UFC Fight Night,2025-03-30,https://www.bestfightodds.com/events/ufc-fight-night-3667,38213,Joe Pfyer,Kelvin Gastelum,/fighters/joe-pfyer-16505,/fighters/kelvin-gastelum-4061,"('joe pfyer', 'kelvin gastelum')",unmatched,0
ufc-3654,UFC,2025-04-12,https://www.bestfightodds.com/events/ufc-3654,38327,Mitch Raposo,Sumudaerji Sumudaerji,/fighters/mitch-raposo-10778,/fighters/sumudaerji-sumudaerji-8746,"('mitch raposo', 'sumudaerji sumudaerji')",unmatched,0
ufc-3656,UFC,2025-04-27,https://www.bestfightodds.com/events/ufc-3656,38384,Damon Blackshear,Heili Alateng,/fighters/damon-blackshear-11177,/fighters/heili-alateng-9469,"('damon blackshear', 'heili alateng')",unmatched,0
ufc-3656,UFC,2025-04-27,https://www.bestfightodds.com/events/ufc-3656,38422,Alatengheili Alateng,Da'mon Blackshear,/fighters/alatengheili-alateng-19309,/fighters/da-mon-blackshear-8471,"('alatengheili alateng', 'damon blackshear')",unmatched,0
ufc-3722,UFC,2025-05-18,https://www.bestfightodds.com/events/ufc-3722,38678,Paul Craig,Rodolfo Bellato,/fighters/paul-craig-6791,/fighters/rodolfo-bellato-11728,"('paul craig', 'rodolfo bellato')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38787,Dong Hyun Seo,Kaiwen Li,/fighters/dong-hyun-seo-19446,/fighters/kaiwen-li-15871,"('dong hyun seo', 'kaiwen li')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38786,Agulali,Mridul Saikia,/fighters/agulali-19444,/fighters/mridul-saikia-19445,"('agulali', 'mridul saikia')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38788,Chang Min Yoon,Jin Aoi,/fighters/chang-min-yoon-8964,/fighters/jin-aoi-10249,"('chang min yoon', 'jin aoi')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38790,Aaron Tau,Rio Tirto,/fighters/aaron-tau-18404,/fighters/rio-tirto-19448,"('aaron tau', 'rio tirto')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38789,Aziz Khaydarov,Mansher Khera,/fighters/aziz-khaydarov-19447,/fighters/mansher-khera-16436,"('aziz khaydarov', 'mansher khera')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38784,Baergeng Jieleyisi,Sebastian Szalay,/fighters/baergeng-jieleyisi-15879,/fighters/sebastian-szalay-19442,"('baergeng jieleyisi', 'sebastian szalay')",unmatched,0
road-to-ufc-3734,Road to UFC,2025-05-22,https://www.bestfightodds.com/events/road-to-ufc-3734,38785,Kai Yoshida,Shuai Yin,/fighters/kai-yoshida-19443,/fighters/shuai-yin-17654,"('kai yoshida', 'shuai yin')",unmatched,0
