source_event_id,event_name,event_date_iso,event_url,source_matchup_id,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,pair_key,reason,candidate_count
road-to-ufc-3306,Road to UFC,2024-05-19,https://www.bestfightodds.com/events/road-to-ufc-3306,35026,Shohei Nose,Su Young You,/fighters/shohei-nose-13947,/fighters/su-young-you-17656,"('shohei nose', 'su young you')",unmatched,0
road-to-ufc-3306,Road to UFC,2024-05-19,https://www.bestfightodds.com/events/road-to-ufc-3306,35028,Daermisi Zhawupasi,Ren Ozaki,/fighters/daermisi-zhawupasi-15877,/fighters/ren-ozaki-17659,"('daermisi zhawupasi', 'ren ozaki')",unmatched,0
road-to-ufc-3306,Road to UFC,2024-05-19,https://www.bestfightodds.com/events/road-to-ufc-3306,35030,Tatsuya Saika,Won Bin Ki,/fighters/tatsuya-saika-15692,/fighters/won-bin-ki-13924,"('tatsuya saika', 'won bin ki')",unmatched,0
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277,35141,Chang Ho Lee,Long Xiao,/fighters/chang-ho-lee-13734,/fighters/long-xiao-12717,"('chang ho lee', 'long xiao')",unmatched,0
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277,35146,Melsik Baghdasaryan,Muhammad Naimov,/fighters/melsik-baghdasaryan-10282,/fighters/muhammad-naimov-10630,"('melsik baghdasaryan', 'muhammad naimov')",unmatched,0
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277,35147,Abu Azaitar,Denis Tiuliulin,/fighters/abu-azaitar-3986,/fighters/denis-tiuliulin-13474,"('abu azaitar', 'denis tiuliulin')",unmatched,0
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277,35138,Farid Basharat,Montel Jackson,/fighters/farid-basharat-11791,/fighters/montel-jackson-8255,"('farid basharat', 'montel jackson')",unmatched,0
ufc-3277,UFC,2024-06-22,https://www.bestfightodds.com/events/ufc-3277,30185,Khamzat Chimaev,Robert Whittaker,/fighters/khamzat-chimaev-10189,/fighters/robert-whittaker-3761,"('khamzat chimaev', 'robert whittaker')",unmatched,0
ufc-3161,UFC,2024-06-29,https://www.bestfightodds.com/events/ufc-3161,33728,Conor McGregor,Michael Chandler,/fighters/conor-mcgregor-3147,/fighters/michael-chandler-2158,"('conor mcgregor', 'michael chandler')",unmatched,0
ufc-3161,UFC,2024-06-29,https://www.bestfightodds.com/events/ufc-3161,35392,Anthony Smith,Carlos Ulberg,/fighters/anthony-smith-1829,/fighters/carlos-ulberg-10404,"('anthony smith', 'carlos ulberg')",unmatched,0
ufc-303-3283,UFC 303,2024-06-30,https://www.bestfightodds.com/events/ufc-303-3283,35391,Brian Ortega,Diego Lopes,/fighters/brian-ortega-4290,/fighters/diego-lopes-12328,"('brian ortega', 'diego lopes')",unmatched,0
ufc-3336,UFC,2024-07-13,https://www.bestfightodds.com/events/ufc-3336,35303,Jasmine Jasudavicius,Viviane Araujo,/fighters/jasmine-jasudavicius-9869,/fighters/viviane-araujo-9155,"('jasmine jasudavicius', 'viviane araujo')",unmatched,0
ufc-fight-night-3363,UFC Fight Night,2024-07-14,https://www.bestfightodds.com/events/ufc-fight-night-3363,35311,Abdul Razak Alhassan,Cody Brundage,/fighters/abdul-razak-alhassan-4724,/fighters/cody-brundage-10168,"('abdul razak alhassan', 'cody brundage')",unmatched,0
ufc-3374,UFC,2024-07-27,https://www.bestfightodds.com/events/ufc-3374,35761,Caolan Loughran,Ramon Taveras,/fighters/caolan-loughran-13592,/fighters/ramon-taveras-16460,"('caolan loughran', 'ramon taveras')",unmatched,0
ufc-3307,UFC,2024-07-28,https://www.bestfightodds.com/events/ufc-3307,35039,Bobby Green,Paddy Pimblett,/fighters/bobby-green-1060,/fighters/paddy-pimblett-4242,"('bobby green', 'paddy pimblett')",unmatched,0
ufc-3320,UFC,2024-08-03,https://www.bestfightodds.com/events/ufc-3320,35762,Abdul-Kareem Al-Selwady,Guram Kutateladze,/fighters/abdul-kareem-al-selwady-10295,/fighters/guram-kutateladze-10385,"('abdul kareem al selwady', 'guram kutateladze')",unmatched,0
ufc-3406,UFC,2024-08-10,https://www.bestfightodds.com/events/ufc-3406,35903,Allan Nascimento,Jafel Filho,/fighters/allan-nascimento-6373,/fighters/jafel-filho-14406,"('allan nascimento', 'jafel filho')",unmatched,0
ufc-3406,UFC,2024-08-10,https://www.bestfightodds.com/events/ufc-3406,35905,Jonny Parsons,Yusaku Kinoshita,/fighters/jonny-parsons-12689,/fighters/yusaku-kinoshita-14317,"('jonny parsons', 'yusaku kinoshita')",unmatched,0
ufc-3406,UFC,2024-08-10,https://www.bestfightodds.com/events/ufc-3406,35904,Chris Gutierrez,Javid Basharat,/fighters/chris-gutierrez-4725,/fighters/javid-basharat-10973,"('chris gutierrez', 'javid basharat')",unmatched,0
ufc-3407,UFC,2024-08-11,https://www.bestfightodds.com/events/ufc-3407,35906,Damon Jackson,Jose Mariscal,/fighters/damon-jackson-3828,/fighters/jose-mariscal-8166,"('damon jackson', 'jose mariscal')",unmatched,0
ufc-3410,UFC,2024-08-17,https://www.bestfightodds.com/events/ufc-3410,35936,Kenan Song,Ricky Glenn,/fighters/kenan-song-7731,/fighters/ricky-glenn-13086,"('kenan song', 'ricky glenn')",unmatched,0
road-to-ufc-3442,Road to UFC,2024-08-24,https://www.bestfightodds.com/events/road-to-ufc-3442,36147,Balgyn Jenisuly,Tokitaka Nakanishi,/fighters/balgyn-jenisuly-17670,/fighters/tokitaka-nakanishi-17661,"('balgyn jenisuly', 'tokitaka nakanishi')",unmatched,0
